Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day
5/1/2020,495312,8.60%
4/30/2020,466633,7.90%
4/29/2020,478589,8.20%
4/28/2020,490073,8.50%
4/27/2020,463700,8.30%
4/26/2020,219096,9.10%
4/25/2020,295836,9.10%
4/24/2020,444644,8.80%
4/23/2020,454300,8.30%
4/22/2020,459574,8.50%
4/21/2020,422860,7.80%
4/20/2020,438622,8.90%
4/19/2020,224751,9.60%
4/18/2020,254792,9.00%
4/17/2020,433106,9.10%
4/16/2020,421013,7.10%
4/15/2020,419851,7.00%
4/14/2020,430946,7.30%
4/13/2020,363961,6.50%
4/12/2020,198693,8.00%
4/11/2020,257467,7.80%
4/10/2020,400947,7.00%
4/9/2020,405325,7.00%
4/8/2020,428206,7.30%
4/7/2020,435718,7.60%
4/6/2020,446273,8.00%
4/5/2020,227603,9.10%
4/4/2020,282703,8.60%
4/3/2020,484200,8.50%
4/2/2020,486468,8.20%
4/1/2020,514201,8.70%
3/31/2020,509149,8.80%
3/30/2020,546355,9.80%
3/29/2020,264119,11.70%
3/28/2020,332993,10.20%
3/27/2020,658312,11.80%
3/26/2020,681923,11.80%
3/25/2020,691604,12.10%
3/24/2020,743314,13.10%
3/23/2020,711138,13.10%
3/22/2020,409364,16.90%
3/21/2020,620662,20.50%
3/20/2020,1312249,23.90%
3/19/2020,1425564,25.60%
3/18/2020,1629413,28.60%
3/17/2020,1793359,31.80%
3/16/2020,2184296,40.50%
3/15/2020,1159079,47.60%
3/14/2020,1672800,52.50%
3/13/2020,3496765,62.00%
3/12/2020,4163674,71.60%
3/11/2020,4712462,81.50%
3/10/2020,4883623,84.90%
3/9/2020,4989635,89.60%
3/8/2020,2122328,100.40%
3/7/2020,2817082,90.40%
3/6/2020,5204732,91.60%
3/5/2020,5513656,95.60%
3/4/2020,5515945,96.80%
3/3/2020,5498556,96.10%
3/2/2020,5347055,123.90%
3/1/2020,2214601,98.70%
